Name,Temperature,Wind,Type
Toronto weather,3°C,31 km/h,Cloudy
Montréal weather,0°C,13 km/h,Partly cloudy
Vancouver weather,12°C,5 km/h,Sunny
Ottawa weather,1°C,21 km/h,Mostly cloudy
Edmonton weather,7°C,8 km/h,Haze
Calgary weather,8°C,6 km/h,Sunny
Quebéc weather,0°C,8 km/h,Partly cloudy
Winnipeg weather,-2°C,13 km/h,Mostly sunny
Hamilton weather,5°C,8 km/h,Cloudy
London weather,12°C,18 km/h,Cloudy
Kitchener weather,6°C,14 km/h,Rain
St Catharines-Niagara weather,8°C,8 km/h,Cloudy
Halifax weather,4°C,26 km/h,Sunny
Victoria weather,12°C,3 km/h,Mostly sunny
Windsor weather,9°C,23 km/h,Cloudy
Oshawa weather,4°C,13 km/h,Cloudy
Saskatoon weather,-8°C,16 km/h,Mostly sunny
Regina weather,-8°C,14 km/h,Mostly sunny
St John's weather,0°C,10 km/h,Mostly cloudy
Sudbury weather,-1°C,13 km/h,Snow
Chicoutimi weather,-4°C,6 km/h,Partly cloudy
Sherbrooke weather,5°C,6 km/h,Mostly sunny
Kingston weather,7°C,13 km/h,Cloudy
Trois-Rivières weather,-1°C,10 km/h,Partly cloudy
Kelowna weather,11°C,6 km/h,Sunny
Abbotsford weather,14°C,8 km/h,Sunny
Saint John weather,4°C,16 km/h,Sunny
Thunder Bay weather,2°C,3 km/h,Cloudy
Barrie weather,5°C,11 km/h,Cloudy
Sydney weather,19°C,5 km/h,Partly cloudy
